image,Raw_iou,Raw_dice,Raw_precision,Raw_recall,CLAHE_(clip=2.0)_iou,CLAHE_(clip=2.0)_dice,CLAHE_(clip=2.0)_precision,CLAHE_(clip=2.0)_recall,CLAHE_(clip=4.0)_iou,CLAHE_(clip=4.0)_dice,CLAHE_(clip=4.0)_precision,CLAHE_(clip=4.0)_recall,CLAHE_+_Denoise_iou,CLAHE_+_Denoise_dice,CLAHE_+_Denoise_precision,CLAHE_+_Denoise_recall
Sample__10_10_.ome.png,0.005553445984431365,0.011045551097474628,0.005574522124915475,0.5949540387248191,0.0026609573329255238,0.005307790860838265,0.0026800205622267274,0.272247212986505,0.007307216494845361,0.014508416846793739,0.007462477048250613,0.25992567964013297,0.007589859603183793,0.015065375124304814,0.007589859603183793,1.0
Sample__10_11_.ome.png,0.00672165209627694,0.013353546300073262,0.006769477680270779,0.487551867219917,0.006317589528424536,0.012555856310501445,0.006356644746988444,0.5069650266745702,0.013805543029588262,0.027235090840661034,0.013976082248970912,0.530823947836396,0.008178677625474782,0.01622465899544258,0.008223593950394207,0.5995850622406639
Sample__10_12_.ome.png,0.15867155384731865,0.27388530135301353,0.15909835187081717,0.983374429559841,0.15744220425319702,0.27205194985054415,0.15805471577507557,0.9759771087884587,0.15730523717994352,0.27184744720114823,0.1579198132310551,0.9758575003680259,0.15844553406957188,0.2735485258645854,0.1588833695231863,0.9829051965258354
Sample__10_13_.ome.png,0.5133260690525195,0.6784077530282797,0.5175397088519846,0.9843870028319518,0.6891813579890439,0.8159945108670965,0.699866307419118,0.9783275433105172,0.5092739138939768,0.674859492641774,0.5132442023011577,0.9850376638117841,0.5109761107741047,0.6763523355936063,0.5142995760434704,0.9875113220743187
Sample__10_14_.ome.png,0.33459910857000513,0.501422646578149,0.3360741188630183,0.9870528079222819,0.3347856874583407,0.501632120577843,0.33633500170018316,0.986427318575284,0.3350187102046628,0.5018936553380638,0.3363862455137083,0.9880107251739779,0.3347575158738042,0.5016004958093888,0.33615988685846143,0.9876914194234125
Sample__10_15_.ome.png,0.04502411662274822,0.08616856952211724,0.04698612568497144,0.5188226937760809,0.04101493020945968,0.07879796728987773,0.0426494286551421,0.5169581816567522,0.03969012646431007,0.07634991514112936,0.04123608584680993,0.5142501997691556,0.06471493012925743,0.12156292411791571,0.06556535046802445,0.833037379028678
Sample__10_16_.ome.png,0.0037002747401391136,0.00737326636898077,0.0037027400577218372,0.8475043029259897,0.005830147518466386,0.011592707840086586,0.005868429050221939,0.47194492254733217,0.006288423109552854,0.012498251922884826,0.006322512835024457,0.538382099827883,0.004750100015897723,0.009455286475358529,0.004751644026891614,0.9359724612736661
Sample__10_17_.ome.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sample__10_18_.ome.png,0.011024575771824464,0.02180871966125692,0.011024575771824464,1.0,0.011032866296670782,0.02182494093803944,0.011032866296670782,1.0,0.011035018945261302,0.021829152776079563,0.011035018945261302,1.0,0.010991733575451152,0.021744457863326003,0.010991733575451152,1.0
Sample__10_19_.ome.png,0.05717991697111829,0.10817442906963663,0.05846853112304424,0.7217921651419188,0.04377433872285393,0.08387701651377162,0.04456565822807131,0.7114238798967863,0.056856846101500665,0.10759611637324838,0.05798663111370859,0.7447806708890453,0.04493595108569303,0.08600709170548564,0.04571335658960563,0.7254515599343185
