method,n,iou_mean,iou_std,dice_mean,dice_std,precision_mean,recall_mean
Baseline AMG,30.0,0.1255,0.126,0.2033,0.17,0.1362,0.6338
Baseline Point,30.0,0.0866,0.069,0.15,0.11,0.13,0.25
LoRA AMG,30.0,0.12418402546816076,0.1464941886056994,0.19677897869794816,0.18840975124169554,0.13860997385605847,0.584579396083783
LoRA Point,30.0,0.0903441051574933,0.07100322556929543,0.15843046734456293,0.1122838608967383,0.1164883379958251,0.4750278609233933
,,,,,,,
LoRA params,440384,,,,,,
Total params,641530992,,,,,,
Param ratio (%),0.0686,,,,,,
AMG improvement (%),-1.05,,,,,,
Point improvement (%),4.32,,,,,,
