image,baseline_amg_iou,baseline_amg_dice,baseline_amg_precision,baseline_amg_recall,uniform_N36_iou,uniform_N36_dice,uniform_N36_precision,uniform_N36_recall,microscopy_aware_N36_iou,microscopy_aware_N36_dice,microscopy_aware_N36_precision,microscopy_aware_N36_recall
Sample__10_10_.ome.png,0.005553445984431365,0.011045551097474628,0.005574522124915475,0.5949540387248191,0.006701545413664133,0.013313867340712979,0.007049647517624119,0.11949931547036964,0.005135632042235438,0.010218784169059565,0.005391068078407694,0.09778994719342851
Sample__10_11_.ome.png,0.00672165209627694,0.013353546300073262,0.006769477680270779,0.487551867219917,0.00999811430457124,0.019798283111558852,0.010165970960075096,0.37714878482513337,0.006285315484999328,0.01249211409185673,0.0064272601815109865,0.22154712507409602
Sample__10_12_.ome.png,0.15867155384731865,0.27388530135301353,0.15909835187081717,0.983374429559841,0.33721335685277104,0.5043523610120486,0.3492047196428761,0.9075794935963492,0.42321283189047026,0.5947288028991584,0.4408797435191517,0.9135047107316355
Sample__10_13_.ome.png,0.5133260690525195,0.6784077530282797,0.5175397088519846,0.9843870028319518,0.011859344410421163,0.023440697515782163,0.042031757327758754,0.016252192756165514,0.005539122524724137,0.011017219321743378,0.019830682783598886,0.007627351838475562
Sample__10_14_.ome.png,0.33459910857000513,0.501422646578149,0.3360741188630183,0.9870528079222819,0.038369516684779406,0.07390339579166852,0.5091671324762437,0.03984323399862655,0.002350227092495134,0.004689432952616588,0.013184768760995733,0.0028518814982000777
Sample__10_15_.ome.png,0.04502411662274822,0.08616856952211724,0.04698612568497144,0.5188226937760809,0.035052963340363515,0.06773172887161101,0.03776070252469813,0.32833170558465774,0.027301188582639267,0.05315128393904915,0.029545262886367808,0.26440557577909973
Sample__10_16_.ome.png,0.0037002747401391136,0.00737326636898077,0.0037027400577218372,0.8475043029259897,0.0022869669946005925,0.004563497421218913,0.002374896361771195,0.05817555938037866,0.007808831887710975,0.015496653017188534,0.008034477059788206,0.21755593803786574
Sample__10_17_.ome.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sample__10_18_.ome.png,0.011024575771824464,0.02180871966125692,0.011024575771824464,1.0,0.011252165918172496,0.022253926957883988,0.011735028802820537,0.21473883115130246,0.011968203876269016,0.023653319996469652,0.012753267628272915,0.16277500337427453
Sample__10_19_.ome.png,0.05717991697111829,0.10817442906963663,0.05846853112304424,0.7217921651419188,0.03711845288249844,0.07157996809204169,0.038476709704231206,0.5125498475252169,0.023190672994598708,0.04533011022613403,0.02546912999820068,0.20586441473140982
